meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,4.90,4.50,2.01,4.90,4.09,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,ChangeInsulationRValueForExteriorWalls,r_value,12.40,4.90,4.90,5.53,4.90,5.53,9.08,7.84,8.72,10.03,10.03,13.23,11.72,15.10,20.02,ChangeInsulationRValueForExteriorWalls,r_value,12.40,4.50,2.01,5.53,4.09,5.53,9.08,7.84,8.72,10.03,10.03,13.23,11.72,15.10,20.02,3
ChangeInsulationRValueForRoofs,r_value_roof,11.88,13.20,13.20,12.23,13.20,9.71,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,ChangeInsulationRValueForRoofs,r_value_roof,13.20,13.51,20.07,13.20,19.22,13.20,15.59,15.30,13.99,17.20,17.96,20.57,18.78,23.33,30.54,ChangeInsulationRValueForRoofs,r_value_roof,11.88,13.51,20.07,12.23,19.22,9.71,15.59,15.30,13.99,17.20,17.96,20.57,18.78,23.33,30.54,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.67,0.67,0.67,0.67,0.67,0.67,0.59,0.67,0.67,0.59,0.59,0.52,0.52,0.52,0.52,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.67,0.72,0.72,0.67,0.67,0.67,0.67,0.67,0.67,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.59,0.72,0.72,0.59,0.59,0.52,0.52,0.52,0.52,2
ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,ChangeUValueandSHGCOfWindows,window_shgc,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,2
SetGasBurnerEfficiency,eff,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetGasBurnerEfficiency,eff,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,SetGasBurnerEfficiency,eff,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,3
ReplaceLightsInSpaceTypeWithLPD,lpd,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,15.2955167021,ReplaceLightsInSpaceTypeWithLPD,lpd,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,28.4059595897,ReplaceLightsInSpaceTypeWithLPD,lpd,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,21.850717,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
