1,8A,3.4,10.9,0.6371428571428571,0.7,0.78,20.91428,2.64,1.1,1.2285714285714286,0.7571428571428571,0.5,26.0,0.19,-53.14285714285715,0,732.5610574857377
2,8A,3.4,10.9,0.6371428571428571,0.7,0.78,28.40596,2.64,1.1,1.2285714285714286,0.7571428571428571,0.5,26.0,0.19,-53.14285714285715,0,756.5019728708666
3,8A,3.4,10.9,0.6371428571428571,0.7,0.78,28.40596,2.64,1.1,1.2285714285714286,0.7,0.5,26.0,0.19,-53.14285714285715,0,756.554868087041
4,8A,3.4,10.9,0.6371428571428571,0.7,0.78,28.40596,2.64,1.1,1.2285714285714286,0.7,0.5,26.0,0.19,-124.0,0,759.6762117582861
5,8A,3.4,10.9,0.62,0.7,0.78,28.40596,2.64,1.1,1.2285714285714286,0.7,0.5,26.0,0.19,-124.0,0,759.6720063643128
6,8A,3.4,10.9,0.62,0.7,0.78,28.40596,2.64,1.1,1.2285714285714286,0.7,0.5,26.0,0.15,-124.0,0,759.5621533493544
7,8A,3.4,10.9,0.62,0.7,0.78,28.40596,3.005714285714286,1.1,1.2285714285714286,0.7,0.5,26.0,0.15,-124.0,0,759.3757305778357
8,8A,3.4,10.9,0.62,0.7,0.78,28.40596,3.005714285714286,1.1,1.4,0.7,0.5,26.0,0.15,-124.0,0,764.0002117907474
9,8A,3.4,10.9,0.62,0.7,0.78,28.40596,3.005714285714286,1.1,1.4,0.7,0.5,19.142857142857142,0.15,-124.0,0,750.9595442998574
10,8A,3.4,10.9,0.62,0.7,0.78,28.40596,3.005714285714286,1.1,1.4,0.7,0.2142857142857143,19.142857142857142,0.15,-124.0,0,752.7464014026467
11,8A,3.4,10.9,0.62,0.5342857142857143,0.78,28.40596,3.005714285714286,1.1,1.4,0.7,0.2142857142857143,19.142857142857142,0.15,-124.0,0,750.9699184555269
12,8A,3.4,13.26,0.62,0.5342857142857143,0.78,28.40596,3.005714285714286,1.1,1.4,0.7,0.2142857142857143,19.142857142857142,0.15,-124.0,0,748.3093995868534
13,8A,4.782857142857143,13.26,0.62,0.5342857142857143,0.78,28.40596,3.005714285714286,1.1,1.4,0.7,0.2142857142857143,19.142857142857142,0.15,-124.0,0,742.520093945351
14,8A,4.782857142857143,13.26,0.62,0.5342857142857143,0.7342857142857143,28.40596,3.005714285714286,1.1,1.4,0.7,0.2142857142857143,19.142857142857142,0.15,-124.0,0,743.3479899901798
15,8A,4.782857142857143,13.26,0.62,0.5342857142857143,0.7342857142857143,28.40596,3.005714285714286,1.2714285714285714,1.4,0.7,0.2142857142857143,19.142857142857142,0.15,-124.0,0,743.0302548752437
16,8A,4.437142857142858,15.03,0.6328571428571429,0.41,0.7457142857142857,20.91428,3.28,1.2714285714285714,1.2714285714285714,0.7,0.2857142857142857,20.857142857142858,0.19,-70.85714285714286,0,713.9792144443076
17,8A,4.437142857142858,15.03,0.6328571428571429,0.41,0.7,20.91428,3.28,1.2714285714285714,1.2714285714285714,0.7,0.2857142857142857,20.857142857142858,0.19,-70.85714285714286,0,714.8071104886661
18,8A,4.437142857142858,15.03,0.6328571428571429,0.41,0.7,20.91428,3.28,1.1,1.2714285714285714,0.7,0.2857142857142857,20.857142857142858,0.19,-70.85714285714286,0,715.1248456032221
19,8A,4.437142857142858,15.03,0.6328571428571429,0.41,0.7,20.91428,3.28,1.1,1.2714285714285714,0.7,0.2857142857142857,20.857142857142858,0.19,0.0,0,712.0035019323685
20,8A,5.82,15.03,0.6328571428571429,0.41,0.7,20.91428,3.28,1.1,1.2714285714285714,0.7,0.2857142857142857,20.857142857142858,0.19,0.0,0,706.2141962908266
21,8A,5.82,15.03,0.65,0.41,0.7,20.91428,3.28,1.1,1.2714285714285714,0.7,0.2857142857142857,20.857142857142858,0.19,0.0,0,706.2184016848151
22,8A,5.82,15.03,0.65,0.41,0.7,20.91428,3.28,1.1,1.2714285714285714,0.7,0.2857142857142857,14.0,0.19,0.0,0,693.1777341943339
23,8A,5.82,15.03,0.65,0.41,0.7,28.40596,3.28,1.1,1.2714285714285714,0.7,0.2857142857142857,14.0,0.19,0.0,0,717.1186495794881
24,8A,5.82,15.03,0.65,0.41,0.7,28.40596,3.28,1.1,1.2714285714285714,0.7,0.0,14.0,0.19,0.0,0,718.905506681681
25,8A,5.82,15.03,0.65,0.5757142857142856,0.7,28.40596,3.28,1.1,1.2714285714285714,0.7,0.0,14.0,0.19,0.0,0,720.6819896286341
26,8A,5.82,12.67,0.65,0.5757142857142856,0.7,28.40596,3.28,1.1,1.2714285714285714,0.7,0.0,14.0,0.19,0.0,0,723.3425084970157
27,8A,5.82,12.67,0.65,0.5757142857142856,0.7,28.40596,3.28,1.1,1.2714285714285714,0.7,0.0,14.0,0.15,0.0,0,723.2326554819089
28,8A,5.82,12.67,0.65,0.5757142857142856,0.7,28.40596,2.914285714285714,1.1,1.2714285714285714,0.7,0.0,14.0,0.15,0.0,0,723.4190782532527
29,8A,5.82,12.67,0.65,0.5757142857142856,0.7,28.40596,2.914285714285714,1.1,1.1,0.7,0.0,14.0,0.15,0.0,0,718.7945970402623
30,8A,5.82,12.67,0.65,0.5757142857142856,0.7,28.40596,2.914285714285714,1.1,1.1,0.7571428571428571,0.0,14.0,0.15,0.0,0,718.7417018240068
31,8A,4.437142857142858,15.03,0.65,0.5757142857142856,0.7457142857142857,22.7872,2.914285714285714,1.4,1.1,0.7571428571428571,0.5,26.0,0.19,-124.0,0,727.7972421817798
