meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,2.17,2.17,2.17,2.27,2.17,2.29,3.4,3.26,3.4,3.4,3.4,3.4,3.4,3.4,3.4,ChangeInsulationRValueForExteriorWalls,r_value,3.4,3.4,3.4,3.4,3.4,3.4,3.44,3.4,3.53,4.23,4.03,4.72,4.72,5.18,5.82,ChangeInsulationRValueForExteriorWalls,r_value,2.17,2.17,2.17,2.27,2.17,2.29,3.44,3.26,3.53,4.23,4.03,4.72,4.72,5.18,5.82,3
ChangeInsulationRValueForRoofs,r_value_roof,8.37,8.37,8.37,8.37,8.37,8.37,10,9.6,10.13,10.9,10.9,10.9,10.9,10.9,10.9,ChangeInsulationRValueForRoofs,r_value_roof,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,12.25,11.54,15.03,15.03,15.03,15.03,ChangeInsulationRValueForRoofs,r_value_roof,8.37,8.37,8.37,8.37,8.37,8.37,10,9.6,10.13,12.25,11.54,15.03,15.03,15.03,15.03,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.65,0.65,0.65,0.65,0.65,0.65,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,2
ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,ChangeUValueandSHGCOfWindows,window_shgc,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,2
SetGasBurnerEfficiency,eff,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,3
ReplaceLightsInSpaceTypeWithLPD,lpd,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,15.29552,ReplaceLightsInSpaceTypeWithLPD,lpd,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,28.40596,ReplaceLightsInSpaceTypeWithLPD,lpd,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,21.85072,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
